id,city,date,team1,team2,toss_winner,toss_decision,result,dl_applied,winner,win_by,win_type,player_of_match,umpire1
1,Hyderabad,2017-04-05,SRH,RCB,RCB,field,normal,0,SRH,35,runs,Yuvraj Singh,AY Dandekar
2,Pune,2017-04-06,MI,RPS,RPS,field,normal,0,RPS,7,wickets,SPD Smith,A Nand Kishore
3,Rajkot,2017-04-07,GL,KKR,KKR,field,normal,0,KKR,10,wickets,CA Lynn,Nitin Menon
4,Indore,2017-04-08,RPS,KXIP,KXIP,field,normal,0,KXIP,6,wickets,GJ Maxwell,AK Chaudhary
5,Bangalore,2017-04-08,RCB,DD,RCB,bat,normal,0,RCB,15,runs,KM Jadhav,
6,Hyderabad,2017-04-09,GL,SRH,SRH,field,normal,0,SRH,9,wickets,Rashid Khan,A Deshmukh
7,Mumbai,2017-04-09,KKR,MI,MI,field,normal,0,MI,4,wickets,N Rana,Nitin Menon
8,Indore,2017-04-10,RCB,KXIP,RCB,bat,normal,0,KXIP,8,wickets,AR Patel,AK Chaudhary
9,Pune,2017-04-11,DD,RPS,RPS,field,normal,0,DD,97,runs,SV Samson,AY Dandekar
10,Mumbai,2017-04-12,SRH,MI,MI,field,normal,0,MI,4,wickets,JJ Bumrah,Nitin Menon
11,Kolkata,2017-04-13,KXIP,KKR,KKR,field,normal,0,KKR,8,wickets,SP Narine,A Deshmukh
12,Bangalore,2017-04-14,RCB,MI,MI,field,normal,0,MI,4,wickets,KA Pollard,KN Ananthapadmanabhan
13,Rajkot,2017-04-14,RPS,GL,GL,field,normal,0,GL,7,wickets,AJ Tye,A Nand Kishore
14,Kolkata,2017-04-15,KKR,SRH,SRH,field,normal,0,KKR,17,runs,RV Uthappa,AY Dandekar
15,Delhi,2017-04-15,DD,KXIP,DD,bat,normal,0,DD,51,runs,CJ Anderson,YC Barde
16,Mumbai,2017-04-16,GL,MI,MI,field,normal,0,MI,6,wickets,N Rana,A Nand Kishore
17,Bangalore,2017-04-16,RPS,RCB,RCB,field,normal,0,RPS,27,runs,BA Stokes,KN Ananthapadmanabhan
18,Delhi,2017-04-17,DD,KKR,DD,bat,normal,0,KKR,4,wickets,NM Coulter-Nile,Nitin Menon
19,Hyderabad,2017-04-17,SRH,KXIP,KXIP,field,normal,0,SRH,5,runs,B Kumar,AY Dandekar
20,Rajkot,2017-04-18,RCB,GL,GL,field,normal,0,RCB,21,runs,CH Gayle,S Ravi
21,Hyderabad,2017-04-19,SRH,DD,SRH,bat,normal,0,SRH,15,runs,KS Williamson,CB Gaffaney
22,Indore,2017-04-20,KXIP,MI,MI,field,normal,0,MI,8,wickets,JC Buttler,M Erasmus
23,Kolkata,2017-04-21,KKR,GL,GL,field,normal,0,GL,4,wickets,SK Raina,CB Gaffaney
24,Mumbai,2017-04-22,MI,DD,DD,field,normal,0,MI,14,runs,MJ McClenaghan,A Nand Kishore
25,Pune,2017-04-22,SRH,RPS,RPS,field,normal,0,RPS,6,wickets,MS Dhoni,AY Dandekar
26,Rajkot,2017-04-23,KXIP,GL,GL,field,normal,0,KXIP,26,runs,HM Amla,AK Chaudhary
27,Kolkata,2017-04-23,KKR,RCB,RCB,field,normal,0,KKR,82,runs,NM Coulter-Nile,CB Gaffaney
28,Mumbai,2017-04-24,RPS,MI,MI,field,normal,0,RPS,3,runs,BA Stokes,A Nand Kishore
29,Pune,2017-04-26,RPS,KKR,KKR,field,normal,0,KKR,7,wickets,RV Uthappa,AY Dandekar
30,Bangalore,2017-04-27,RCB,GL,GL,field,normal,0,GL,7,wickets,AJ Tye,AK Chaudhary
31,Kolkata,2017-04-28,DD,KKR,KKR,field,normal,0,KKR,7,wickets,G Gambhir,NJ Llong
32,Chandigarh,2017-04-28,SRH,KXIP,KXIP,field,normal,0,SRH,26,runs,Rashid Khan,Nitin Menon
33,Pune,2017-04-29,RPS,RCB,RCB,field,normal,0,RPS,61,runs,LH Ferguson,KN Ananthapadmanabhan
34,Rajkot,2017-04-29,GL,MI,GL,bat,tie,0,MI,0,,KH Pandya,AK Chaudhary
35,Chandigarh,2017-04-30,DD,KXIP,KXIP,field,normal,0,KXIP,10,wickets,Sandeep Sharma,YC Barde
36,Hyderabad,2017-04-30,SRH,KKR,KKR,field,normal,0,SRH,48,runs,DA Warner,AY Dandekar
